n/k,p,urea,MoP,tsP,Crop_Aus(BRI 27),Crop_Aus(BRI 42),Crop_B. Aman,Crop_Boro Rice(BRI 28),Crop_Boro Rice(BRI 29),Crop_Boro Rice(BRI 36),Crop_T. Aman(BRRI 25),Crop_T. Aman(BRRI 51),Crop_T. Aman(Binadhan 9)
0.6666666666666666,0.6666666666666666,562,194.0,0.0,0,0,0,1,0,0,0,0,0
0.6944444444444444,0.6944444444444444,515,162.0,0.0,0,0,0,1,0,0,0,0,0
0.7222222222222222,0.7222222222222222,469,130.0,0.0,0,0,0,1,0,0,0,0,0
0.75,0.75,422,97.0,0.0,0,0,0,1,0,0,0,0,0
0.7777777777777778,0.7777777777777777,375,65.0,0.0,0,0,0,1,0,0,0,0,0
0.8055555555555555,0.8055555555555555,328,32.0,0.0,0,0,0,1,0,0,0,0,0
0.8333333333333333,0.8333333333333333,281,0.0,0.0,0,0,0,1,0,0,0,0,0
0.861111111111111,0.861111111111111,234,0.0,0.0,0,0,0,1,0,0,0,0,0
0.8888888888888888,0.8888888888888888,188,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9166666666666666,0.9166666666666666,141,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9444444444444445,0.9444444444444444,94,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9722222222222221,0.9722222222222222,47,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
0.0,0.0,1406,810.0,486.0,0,0,0,0,0,1,0,0,0
0.027777777777777776,0.027777777777777776,1367,783.0,466.0,0,0,0,0,0,1,0,0,0
0.05555555555555555,0.05555555555555555,1328,756.0,445.0,0,0,0,0,0,1,0,0,0
0.08333333333333333,0.08333333333333333,1289,729.0,425.0,0,0,0,0,0,1,0,0,0
0.1111111111111111,0.1111111111111111,1249,702.0,405.0,0,0,0,0,0,1,0,0,0
0.1388888888888889,0.1388888888888889,1210,675.0,385.0,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.16666666666666666,1171,648.0,364.0,0,0,0,0,0,1,0,0,0
0.19444444444444445,0.19444444444444442,1132,621.0,344.0,0,0,0,0,0,1,0,0,0
0.2222222222222222,0.2222222222222222,1093,594.0,324.0,0,0,0,0,0,1,0,0,0
0.24999999999999997,0.25,1054,567.0,304.0,0,0,0,0,0,1,0,0,0
0.2777777777777778,0.2777777777777778,1015,540.0,283.0,0,0,0,0,0,1,0,0,0
0.3055555555555555,0.3055555555555555,976,513.0,263.0,0,0,0,0,0,1,0,0,0
0.3333333333333333,0.3333333333333333,937,486.0,243.0,0,0,0,0,0,1,0,0,0
0.3611111111111111,0.3611111111111111,898,459.0,223.0,0,0,0,0,0,1,0,0,0
0.3888888888888889,0.38888888888888884,859,432.0,202.0,0,0,0,0,0,1,0,0,0
0.41666666666666663,0.41666666666666663,820,405.0,182.0,0,0,0,0,0,1,0,0,0
0.4444444444444444,0.4444444444444444,781,378.0,162.0,0,0,0,0,0,1,0,0,0
0.47222222222222227,0.4722222222222222,742,351.0,142.0,0,0,0,0,0,1,0,0,0
0.49999999999999994,0.5,703,324.0,121.0,0,0,0,0,0,1,0,0,0
0.5277777777777778,0.5277777777777778,664,297.0,101.0,0,0,0,0,0,1,0,0,0
0.5555555555555556,0.5555555555555556,625,270.0,81.0,0,0,0,0,0,1,0,0,0
0.5833333333333333,0.5833333333333333,586,243.0,61.0,0,0,0,0,0,1,0,0,0
0.611111111111111,0.611111111111111,547,216.0,40.0,0,0,0,0,0,1,0,0,0
0.6388888888888888,0.6388888888888888,508,189.0,20.0,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.6666666666666666,469,162.0,0.0,0,0,0,0,0,1,0,0,0
0.6944444444444444,0.6944444444444444,430,135.0,0.0,0,0,0,0,0,1,0,0,0
0.7222222222222222,0.7222222222222222,391,108.0,0.0,0,0,0,0,0,1,0,0,0
0.75,0.75,352,81.0,0.0,0,0,0,0,0,1,0,0,0
0.7777777777777778,0.7777777777777777,312,54.0,0.0,0,0,0,0,0,1,0,0,0
0.8055555555555555,0.8055555555555555,273,27.0,0.0,0,0,0,0,0,1,0,0,0
0.8333333333333333,0.8333333333333333,234,0.0,0.0,0,0,0,0,0,1,0,0,0
0.861111111111111,0.861111111111111,195,0.0,0.0,0,0,0,0,0,1,0,0,0
0.8888888888888888,0.8888888888888888,156,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9166666666666666,0.9166666666666666,117,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9444444444444445,0.9444444444444444,78,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9722222222222221,0.9722222222222222,39,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0
0.0,0.0,773,486.0,324.0,1,0,0,0,0,0,0,0,0
0.027777777777777776,0.027777777777777776,752,470.0,310.0,1,0,0,0,0,0,0,0,0
0.05555555555555555,0.05555555555555555,730,453.0,297.0,1,0,0,0,0,0,0,0,0
0.08333333333333333,0.08333333333333333,709,437.0,283.0,1,0,0,0,0,0,0,0,0
0.1111111111111111,0.1111111111111111,687,421.0,270.0,1,0,0,0,0,0,0,0,0
0.1388888888888889,0.1388888888888889,666,405.0,256.0,1,0,0,0,0,0,0,0,0
